name,cost_per_one,metric,measure_by_quantity,category_id,
Club Orange,€0.00123,ml,FALSE,9,
Coca cola,€0.00158,ml,FALSE,9,
Fanta Lemon,€0.00171,ml,FALSE,9,
Fanta Orange,€0.00120,ml,FALSE,9,
Fior Uisce Sparkling,€0.01000,ml,FALSE,9,
Fior Uisce Still,€0.00006,ml,FALSE,9,
Kerry Spring Still water,€0.00256,ml,FALSE,9,
Lilt,€0.48700,ml,FALSE,9,
Mi Wadi Orange,€0.00830,ml,FALSE,9,
Oasis Citrus,€0.00189,ml,FALSE,9,
Oasis Summer Fruits,€0.00189,ml,FALSE,9,
Pink Lemonade,€0.00771,ml,FALSE,9,
River Rock Forest Fruits,€0.00060,ml,FALSE,9,
River Rock Lemon and Lime,€0.00650,ml,FALSE,9,
River Rock Sparkling,€0.00900,ml,FALSE,9,
River Rock Still,€0.00900,ml,FALSE,9,
Sprite,€0.00100,ml,FALSE,9,
Ardrahan,€0.00800,g,FALSE,5,
Brie Cheese Wheel,€0.00240,g,FALSE,5,
Cashel Blue,€0.00810,g,FALSE,5,
Cheddar,€0.00710,g,FALSE,5,
Cottage cheese,€0.00440,g,FALSE,5,
Creme Fraiche,€0.00340,g,FALSE,5,
Durrus Large,€0.01160,g,FALSE,5,
Emmental Cheese,€0.01690,g,FALSE,5,
Feta Cheese,€0.01700,g,FALSE,5,
Goats cheese,€0.01400,g,FALSE,5,
Gorganzola Cheese,€0.00790,g,FALSE,5,
Halloumi,€0.01700,g,FALSE,5,
Laughing Cow Cheese,€0.01420,g,FALSE,5,
Mascarpone Cheese,€0.00610,g,FALSE,5,
Milleens,€0.01300,g,FALSE,5,
Mini Babybel,€0.29000,g,TRUE,5,
Mozzarella,€0.00740,g,FALSE,5,
Parmesan granaforma grated,€0.00815,g,FALSE,5,
Philadelphia Full Fat,€0.01200,g,FALSE,5,
Provolone soft,€0.00990,g,FALSE,5,
Ricotta,€0.00580,g,FALSE,5,
Butter,€0.04100,g,FALSE,3,
"Butter, mini",€0.70000,g,TRUE,3,
"Butter, unsalted",€0.00639,g,FALSE,3,
Cream,€0.00236,g,FALSE,3,
"Cream, Clotted",€0.02300,g,FALSE,3,
Creme Anglaise,€0.01850,g,FALSE,3,
Creme brulee,€0.00580,g,FALSE,3,
Crème Fraiche,€0.00487,g,FALSE,3,
Egg Yolks,€0.25000,ml,TRUE,3,
Eggs,€0.16000,ml,TRUE,3,
Eggs whites,€0.25000,ml,TRUE,3,
"Eggs, Duck",€0.42000,ml,TRUE,3,
"Eggs, Quail",€0.33000,ml,TRUE,3,
"Ice cream, Glenown",€0.06900,g,FALSE,3,
"Ice cream, Glenown bourbon vanilla",€0.06900,g,FALSE,3,
"Ice cream, Glenown caramel",€0.06900,g,FALSE,3,
"Ice cream, Glenown chocolate",€0.06900,g,FALSE,3,
"Ice cream, Glenown mint chococolate",€0.06900,g,FALSE,3,
"Ice cream, Movenpeck Panna Cotta Rasp 2.4ltr",€0.00666,g,FALSE,3,
"Ice cream, Movenpeck Vanilla Dream",€0.00570,g,FALSE,3,
"Ice cream, Movenpeck Maple Walnut 2.4ltr",€0.00695,g,FALSE,3,
"Ice cream, Movenpeck Strawberry 5ltr",€0.00690,g,FALSE,3,
"Ice cream, Movenpeck Swiss Chocolate 5ltr",€0.00630,g,FALSE,3,
"Icecream, Lux soft chocolate",€0.00438,g,FALSE,3,
"Icecream, Lux soft Strawberry",€0.00438,g,FALSE,3,
"Icecream, Lux soft Vanilla",€0.00438,g,FALSE,3,
"Margarine, Stork",€0.16600,g,FALSE,3,
Milk,€0.00590,g,FALSE,3,
"Milk, Coconut",€0.00111,g,FALSE,3,
"Milk, Condenced",€0.00590,g,FALSE,3,
